movie_name,mse_v,mae_v,ccc_v,mse_a,mae_a,ccc_a
AboutTime,0.0636708964917291,0.2066114687157753,0.2497172484588805,0.036587158021300116,0.1536100139295248,0.461293066078824
Gifted,0.06420694673057557,0.19839211664537884,0.3995775360032062,0.017193947838261614,0.10731212194286176,0.7665056617817948
LadyBird,0.0870943342602722,0.23697926133662184,0.1896351326181757,0.05011732751218198,0.182049976888104,0.24089151310689147
TheBlindSide,0.04624853424892393,0.17264438377714705,0.43402248326933895,0.0209057298329395,0.11576614349052824,0.533893940822996
TheFaultInOurStars,0.06034528329657041,0.19885349293549856,0.21653930710955743,0.052193095240715304,0.18239948709805806,0.38006050907949473
TheJudge,0.06240262725525011,0.19805300265750628,0.4650066764226698,0.022159625835353504,0.11610069230898915,0.6918145383642772
TheSpectacularNow,0.07394701551378449,0.20786838750354947,0.3524354722556787,0.026695054314578293,0.12429803945124149,0.6228440273612021
TheTheoryOfEverything,0.06230283774772932,0.20352205572028956,0.29024838738077663,0.025771598676336088,0.11124737064043681,0.35682570094701216
Wonder,0.08706897819829988,0.24876149382442236,0.29316334747022327,0.026046704725249867,0.12497355500857035,0.5296200834897785
